country,category,n_records,mean_z_price,anomaly_rate,total_value_gbp,log_n_records,cluster
Germany,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",90,0.13498113322470956,0.08888888888888889,52703521.0,4.499809670330265,0
Germany,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,14,0.06221033671637872,0.0,2577703.0,2.6390573296152584,0
Germany,"Fish and crustaceans, molluscs and other aquatic invertebrates",74,0.27518010510519614,0.04054054054054054,4426306.0,4.30406509320417,0
Germany,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",11,0.7100942984242131,0.2727272727272727,92080923.0,2.3978952727983707,1
Germany,Live animals,42,0.5092497205156411,0.0,4226351.0,3.7376696182833684,0
Germany,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",154,0.011496061751441463,0.03896103896103896,5791662.0,5.0369526024136295,0
Germany,Meat and edible meat offal,480,-0.35164259859393915,0.0125,103161506.0,6.173786103901937,0
Germany,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",26,0.059114311120081045,0.0,1104165.0,3.258096538021482,0
Germany,Organic chemicals,51,0.25837208841062964,0.058823529411764705,3140076.0,3.9318256327243257,0
Germany,Plastics and plastic products,39,0.04557393697676691,0.02564102564102564,1156196.0,3.6635616461296463,0
Germany,Products of animal origin not elsewhere specified or included,123,0.058369280796250936,0.0,6276284.0,4.812184355372417,0
Germany,"Salt; sulphur; earths and stone; plastering material, lime and cement",39,-0.137463594262181,0.02564102564102564,18056800.0,3.6635616461296463,0
Germany,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof",67,0.4846752530832936,0.029850746268656716,76755490.0,4.204692619390966,0
Ghana,Edible fruit and nuts; peel of citrus fruits or melons,42,0.1982893684614267,0.023809523809523808,16028673.0,3.7376696182833684,0
Ghana,Edible vegetables and certain roots and tubers,82,-0.6124557759793745,0.06097560975609756,6416653.0,4.406719247264253,0
Ghana,"Fish and crustaceans, molluscs and other aquatic invertebrates",10,-0.15047009846278092,0.0,31050.0,2.302585092994046,0
Greece,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",270,0.11631540550322414,0.003703703703703704,57681848.0,5.598421958998375,0
Greece,Edible fruit and nuts; peel of citrus fruits or melons,69,0.2757487646402409,0.0,13895070.0,4.23410650459726,0
Greece,Edible vegetables and certain roots and tubers,41,0.28514415592380066,0.024390243902439025,1236992.0,3.713572066704308,0
Greece,"Fish and crustaceans, molluscs and other aquatic invertebrates",52,0.41080649347746756,0.0,3334171.0,3.9512437185814275,0
Greece,Live animals,5,-0.7200078188004109,0.0,13080.0,1.6094379124341003,0
Greece,Meat and edible meat offal,51,0.44342871649401944,0.0196078431372549,649435.0,3.9318256327243257,0
Greece,Products of animal origin not elsewhere specified or included,7,0.6330011771720032,0.0,34327.0,1.9459101490553132,0
Guatemala,Edible fruit and nuts; peel of citrus fruits or melons,16,-0.7843103286285613,0.0625,13934820.0,2.772588722239781,0
Guatemala,Edible vegetables and certain roots and tubers,17,0.5278957638239655,0.0,1281057.0,2.833213344056216,0
Honduras,Edible fruit and nuts; peel of citrus fruits or melons,10,0.11022183701425252,0.0,1544462.0,2.302585092994046,0
Honduras,Edible vegetables and certain roots and tubers,14,-0.28467137780632995,0.0,5584910.0,2.6390573296152584,0
Honduras,"Fish and crustaceans, molluscs and other aquatic invertebrates",9,0.1410935087423113,0.0,13861782.0,2.1972245773362196,0
Hong Kong,"Aircraft, spacecraft, and parts thereof",12,-0.4000206860216354,0.0,396243.0,2.4849066497880004,0
Hong Kong,Edible fruit and nuts; peel of citrus fruits or melons,10,0.4438041547042338,0.0,73411.0,2.302585092994046,0
Hong Kong,Edible vegetables and certain roots and tubers,49,1.1045700121945567,0.0,437234.0,3.8918202981106265,0
Hong Kong,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",31,-0.4771959437679085,0.0,1518829.0,3.4339872044851463,0
Hong Kong,"Fish and crustaceans, molluscs and other aquatic invertebrates",14,-0.30385148365205594,0.0,331793.0,2.6390573296152584,0
Hungary,"Aircraft, spacecraft, and parts thereof",8,-0.6039285622813115,0.0,56129.0,2.0794415416798357,0
Hungary,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",53,0.3173495349002673,0.018867924528301886,2833962.0,3.970291913552122,0
Hungary,Edible fruit and nuts; peel of citrus fruits or melons,7,0.9538902411146841,0.0,47106.0,1.9459101490553132,0
