month,flow_type_id,commodity_id,category,country,value_gbp,net_mass_kg
202401,1,39,Plastics and plastic products,Poland,60427.0,17920.0
202401,1,39,Plastics and plastic products,Czechia,2986.0,3.0
202401,1,39,Plastics and plastic products,Czechia,2749.0,5.0
202401,3,39,Plastics and plastic products,United States,58354.0,76.0
202401,3,39,Plastics and plastic products,United States,10842.0,273.0
202401,3,39,Plastics and plastic products,United States,68126.0,20000.0
202401,3,39,Plastics and plastic products,United States,14373.0,361.0
202401,3,39,Plastics and plastic products,United States,1524.0,2.0
202401,3,39,Plastics and plastic products,United States,5165.0,5.0
202401,3,39,Plastics and plastic products,United States,10780.0,20.0
202401,3,39,Plastics and plastic products,Canada,9320.0,52.0
202401,3,39,Plastics and plastic products,China,23050.0,3940.0
202401,3,39,Plastics and plastic products,China,32348.0,3000.0
202401,3,39,Plastics and plastic products,China,40234.0,10000.0
202401,3,39,Plastics and plastic products,China,736550.0,222555.0
202401,3,39,Plastics and plastic products,China,104750.0,1771.0
202401,3,39,Plastics and plastic products,China,23663.0,51.0
202401,3,39,Plastics and plastic products,China,6255.0,39.0
